observation1, observation2, generated hypothesis, real hypothesis
I found a $600 dollar envelope in the mail today.,I am honest.,I found out that the person wrote a check. I asked the person for money. I was surprised when the check was not delivered,I turned the $600 dollars to the authorities.
Becky has a nephew named Dominick.,Becky and Dominick can now play Uno together.,Becky and her nephews son got together to play. i asked for a son. i asked for a son,Dominick shifted their house near the Becky house so.
Tom was accidentally shot by his teammate in the army.,He ends up being homeless.,Tom was shot in the leg. He was injured while playing football. He fell down a hill,Tom was unable to find work being in a wheelchair.
Tommy was having a bad day.,Tommy had good friends.,Tommy's friends were there to cheer him on. Tommy was not doing well. So Tommy decided to try out for the hockey team,Tommy's friends cheered him up.
Jay wanted to vote.,That is until he got older and did it again.,Jay tried to vote for his first time. He didn't like the way the vote was presented. he voted for a candidate,Jay swore he'd never vote again.
I was really nervous before my first middle school dance.,Now she won't even talk to me.,I was nervous about my first dance. I was nervous about my first dance. i was nervous,I threw up on my date.
My four-year-old nephew loves to wake us up.,As I screamed he yelled cold hands.,My nephew's dog got up to get a drink. i was scared. i heard a loud noise,Today I was ready for him. When he came into our room a jumped out and tickled him.
I loved to make my wife laugh.,I started making her laugh again and she became happy!,I made her laugh at home. I decided to make her a joke. I made her a joke,The my wife became sad.
Rachel was cooking dinner.,Then she pulled herself together and took care of the cut.,She burned her hand on the stove. She accidentally burned the stove. She made a big mess,She cut her finger when chopping vegetables.
Sam loved striped clothes.,She began to wear stripes every day!,Sam's mom said no to wearing striped clothes. She was very upset when she saw them. She decided to try a new outfit,She decided to go out and buy and entire outfit.
Jimmy's phone ringed in class.,As a result she called the security guard to take him away.,A security guard saw Jimmy and called the security guard. The security guard was being rude to a customer. The security guard was rude to the customer,He ended up getting in trouble.
Kelly was cooking dinner for her parents for the first time.,Everyone laughed and they joked about it for years.,Kelly's cooking was a little sloppy. Kelly forgot to set the timer. The stove started to smoke,She severely undercooked the chicken and badly burned the potatoes.
Amber was scared about her future.,She was no longer worried about her future.,Amber found a therapist. She went to a therapist. She was depressed,Amber talked to her academic advisor.
The day of the big game had arrived.,Terry scored 2 goals that day and got his team the victory.,Terry's team was losing by two points. The game was tied. The game was tied,Terry practiced for a long time.
Sara wanted a new puppy really badly.,A raccoon sprang out and Sara never wanted an animal again.,Sara went to the pet store to buy a puppy. She went to the pet store. She bought a puppy,Sara was outside looking at the neighbor's dog.
Monica was at the library with her boyfriend.,She kicked them out because they were loitering.,Monica and her boyfriend were talking at the library. They were being loud. i asked if anyone needed to chat,Children brought food and left their trash laying on the reading table.
When Jen is 10 years old she wants to wear makeup.,Jen learns her lesson.,Jen's mom makes her a homemade face cream. Jen wanted to make her own face cream. She decided to make her own,Jen applied her mother's makeup and looked like a clown.
Every night the alarm would go off at Ted's house.,It turns out a stray cat set off the alarm.,Ted's cat was outside playing. Ted's cat was in the kitchen. Ted's cat was sleeping in the kitchen,He would run outside but nobody would be there.
Neil had tried to see the Loch Ness Monster on his trip to Scotland.,They said they did not believe in the monster at all!,Neil went on a tour of Scotland. he was scared of monsters. But Neil didn't like it,Neil asked the locals where to find it.
I woke up one morning and went outside to grab the newspaper.,I went outside and quickly grabbed my newspaper.,I heard a loud crash and saw the news. I was in a hurry to get to the newspaper. I was in a hurry to get to the newspaper,It was raining and I did not want to get wet.
Jim was incredibly tired one morning.,After he woke up he saw a steaming boiling pot on the stove.,Jim was very tired. He decided to make a pot of soup. So he decided to make a pot of soup,Jim's wife knew he was tired and made coffee.
The family prepared the food and packed it away.,The family had a horrible day.,The family threw all their belongings in the trash. The family forgot to put the food in the fridge. The family forgot to put the food in the fridge,Popped a tire and spent their picnic time waiting for a tow-truck.
Tim never locked his bathroom window.,Tim was glad he kept the window unlocked.,Tim's friend came over and locked the bathroom door. So he had to go to the bathroom. So he had to go to the bathroom,Tim lost his keys to the house.
A friend of the family has an old farm.,No sane dog chases a pack of wild coyotes.,The old farm had a lot of animals. They were wandering around the farm. They were wandering in the woods,The people that live on the old farm has a dog that fears nothing.
Oren needs to earn extra money for school.,Oren feels great that he will be earning extra money.,Oren found a new job and started looking for a job. Oren decided to get a job. he applied for a job,Oren got a part time job delivering pizza.
